@relation Tweets

@attribute Class {negative,positive}
@attribute Text STRING

@data
negative,'my_PRP$ foot_NN hurt_VBN'
positive,'gambled_VBN on_IN chocolate_NN day_NN as_IN a_DT successful_JJ theme_NN day_NN at_IN work_NN turns_VBZ out_RP chdn_RB do_VBP like_VB chocolate_NN wed_VBN is_VBZ gross_JJ day_NN hope_NN kids_NNS like_IN gross_JJ stuff_NN'
positive,'thank_VB you_PRP USER_IN my_PRP$ new_JJ gf_NN iphone4s_NN is_VBZ great_JJ she_PRP does_VBZ everything_NN'
negative,'this_DT is_VBZ austin_JJ rivers_NNS 1st_VBP game_NN and_CC people_NNS sucking_VBG him_PRP he_PRP a_DT rookie_NN chill_NN'
positive,'play_NN on_IN ma_NN man_NN loving_VBG the_DT camera_NN in_IN the_DT iphone4s_NN well_RB done_VBN USER_NNP fb_NN URL_.'
negative,'as_IN some_DT of_IN you_PRP may_MD know_VB we_PRP have_VBP a_DT fish_NN tank_NN this_DT little_JJ guy_NN is_VBZ named_VBN jeff_NN carter_NN sadly_RB i_IN think_VB he_PRP \'s_VBZ dying_VBG URL_.'
negative,'dr_NN jan_NN radio_NN 2ue_VBD tonight_RB with_IN david_JJ oldfield_JJ re_NN kevin_VBG rudd_NN \'s_POS sad_JJ loss_NN of_IN family_NN cat_NN pets_NNS deserve_VBP honouring_VBG cos_NNS they_PRP love_VBP unconditionally_RB'
positive,'tickets_NNS for_IN the_DT france_NN belgium_NN netherlands_NNS germany_JJ denmark_NN norway_RB and_CC sweden_JJ tmh_NN tour_NN go_VB on_IN sale_NN tomorrow_RB good_JJ luck_NN'
positive,'i_NN became_VBD a_DT citizenship_NN member_NN at_IN USER_NNP thanks_NNS god_NN mspegypt_VBD microsoft_JJ'
positive,'check_NN this_DT video_NN out_IN introducing_VBG galaxy_JJ nexus_JJ simple_NN beautiful_JJ beyond_IN smart_JJ URL_NNP 透過_NNP USER_NNP android_CC nexus_JJ google_NN'
positive,'sticks_NNS and_CC stones_NNS may_MD break_VB my_PRP$ bones_NNS but_CC rugby_NN does_VBZ it_PRP better_RBR'
positive,'USER_NNP will_MD be_VB adding_VBG more_JJR carrier_NN support_NN to_TO the_DT iphone_NN 4s_VBZ just_RB announced_VBN'
positive,'can_MD i_PRP live_VB in_IN this_DT video_JJ soul_NN train_NN line_NN let_VB it_PRP whip_VB dazz_JJ band_NN mpg_NN URL_JJ via_IN USER_NNP'
negative,'fuck_VB you_PRP USER_NNP die_VBP in_IN a_DT fucking_JJ blaze_NN inferno_NN'
positive,'the_DT notebook_NN may_MD be_VB one_CD of_IN the_DT greatest_JJS movies_NNS created_VBN of_IN all_DT time_NN 3_CD'
positive,'chasing_VBG the_DT northern_JJ lights_NNS by_IN alan_NN tan_NN nice_JJ article_NN and_CC photo_NN in_IN yest_NN straits_NNS times_NNS 30_CD oct_NN page_NN c9_.'
negative,'USER_NNP why_WRB my_PRP$ tunes_NNS no_RB go_VB on_IN my_PRP$ iphone_NN iphone_NN lonely_JJ without_IN them_PRP silly_RB ios5_.'
negative,'skype_NN often_RB crashing_VBG microsoft_JJ what_WP are_VBP you_PRP doing_VBG'
negative,'rick_NN stein_NN really_RB is_VBZ incredibly_RB dull_JJ bring_VBP back_RB kids_NNS \'_POS saturday_NN morning_NN telly_, please_VB you_PRP know_VB with_IN pop_NN groups_NNS and_CC stuff_NN sarurdaykitchen_NN'
negative,'USER_NNP 25_CD people_NNS say_VBP u_PRP wo_MD n\'t_RB go_VB to_TO the_DT pro_FW bowl_NN because_IN of_IN the_DT play_NN of_IN the_DT bears_NNS cb_NN \'s_POS how_WRB are_VBP you_PRP gonna_VBG prove_VB them_PRP wrong_JJ on_IN sunday_NN'
positive,'twitter_NN is_VBZ hella_NN coo_NN like_IN farreal_JJ i_IN love_NN twitter_NN'
negative,'USER_NNP nyc_NN end_NN up_IN looking_VBG like_IN ?_NNS ?_.'
negative,'omfg_NN yes_RB tebow_VB might_MD be_VB gone_VBN that_DT \'s_VBZ how_WRB to_TO get_VB me_PRP in_IN a_DT good_JJ fuckingmood_NN'
positive,'so_IN so_RB excited_VBN for_IN all_DT of_IN the_DT new_JJ android_NN features_NNS awesomeness_NN android_CC ics_NNS google_NN galaxynexus_NN'
positive,'did_VBD anyone_NN read_VB the_DT nyt_NN interview_NN with_IN egyptian_JJ president_NN mohamed_VBD morsi_NN on_IN saturday_JJ good_JJ read_NN URL_.'
positive,'blog_NN post_NN cool_JJ tool_NN microsoft_JJ mouse_NN without_IN borders_NNS URL_CC tools_NNS utilities_NNS microsoft_JJ'
negative,'having_VBG major_JJ battery_NN drain_NN issue_NN since_IN updating_VBG iphone_NN 4_CD to_TO ios_NNS 5_CD anyone_NN else_RB USER_NNP USER_NNP USER_NNP'
negative,'missing_VBG hooters_NNS my_PRP$ husband_NN my_PRP$ life_NN my_PRP$ photoshoot_NN tomorrow_NN guess_VBP i_PRP \'m_VBP gonna_VBN drink_NN this_DT bottle_NN of_IN wine_NN with_IN a_DT xanax_NN and_CC pass_VB the_DT fuck_NN out_IN bye_NN'
negative,'how_WRB in_IN the_DT world_NN do_VBP you_PRP go_VB the_DT nfl_JJ combine_NN knowing_VBG u_PRP have_VB a_DT chance_NN to_TO be_VB 1st_JJ rd_JJ pick_NN test_NN positive_JJ for_IN marijuana_NN reallystupid_CC'
positive,'i_PRP \'m_VBP proud_JJ to_TO be_VB one_CD of_IN governor_NN romney_NN \'s_POS hollywood_NN supporters_NNS read_VBP about_IN those_DT of_IN us_PRP supporting_VBG governor_NN romney_NN here_RB URL_.'
negative,'i_PRP think_VBP i_PRP may_MD be_VB the_DT only_JJ person_NN around_IN not_RB excited_VBN that_IN beyonce_NN is_VBZ the_DT half_NN time_NN performer_NN for_IN the_DT superbowl_NN'
positive,'exciting_JJ day_NN it_PRP \'s_VBZ ice_NN cream_NN sandwich_NN day_NN google_JJ android_CC'
positive,'leaving_VBG for_IN germany_NN tomorrow_NN i_IN keep_VBP repeating_VBG it_PRP to_TO myself_PRP somebody_NN pinch_VB me_PRP'
positive,'jonathan_IN ross_NN is_VBZ going_VBG to_TO be_VB amazing_JJ on_IN saturday_NN USER_NNP and_CC USER_NNP in_IN one_CD show_NN ahhhh_NN ca_MD n\'t_RB wait_VB'
negative,'USER_NNP ca_MD n\'t_RB send_VB me_PRP an_DT iphone_NN preordered_VBN 1hr_RP after_IN launching_VBG but_CC they_PRP cans_NNS send_VB 5_CD or_CC 10_CD to_TO all_PDT the_DT jackasses_NNS who_WP want_VBP to_TO shoot_VB or_CC blend_VB \'em_PRP'
negative,'sorry_JJ for_IN not_RB replying_VBG much_JJ working_NN but_CC most_JJS want_VBP sagna_NN lb_NN or_CC tv5_VB shifted_VBN but_CC remember_VBP kos_NNS and_CC jenk_NNP played_VBD 120_CD mins_NNS tues_NNS too_RB toughcall_.'
negative,'news_NN sydney_NN oct_NN 12_CD ani_NNS pacer_NN james_NNS anderson_RB attacked_VBD an_DT arrogant_JJ michael_NN clarke_NN with_IN a_DT batsman_NN \'s_POS pad_NN in_IN the_DT dressing_NN room_NN afte_IN'
positive,'just_RB watched_VBD the_DT campaign_NN with_IN will_NN ferrell_NN and_CC zack_NN galafianakis_NNS good_JJ fun_NN for_IN a_DT wednesday_NN hilarious_.'
negative,'how_WRB is_VBZ it_PRP the_DT dirt_NN poor_JJ kids_NNS in_IN 3rd_JJ world_NN countries_NNS manage_VBP to_TO get_VB money_NN to_TO go_VB to_TO a_DT show_NN but_CC kids_NNS in_IN the_DT valley_NN ca_MD n\'t_RB'
positive,'well_RB USER_NNP fixed_VBN my_PRP$ ios5_IN battery_NN drain_NN problem_NN with_IN a_DT replacement_NN iphone_NN 4_CD it_PRP \'s_VBZ working_VBG like_IN a_DT champ_NN now_RB'
negative,'too_RB bad_JJ google_NN did_VBD n\'t_RB have_VB a_DT tribute_NN graphic_JJ for_IN dennisritchie_NN'
positive,'rt_NN USER_NNP finally_RB power_NN volume_NN screenshot_VBD no_DT more_JJR rooting_NN required_VBN google_JJ ics_NNS galaxynexus_NN'
positive,'what_WP creative_JJ projects_NNS are_VBP you_PRP working_VBG on_IN during_IN sandy_JJ USER_NNP and_CC i_PRP did_VBD pastel_NN art_NN last_JJ night_NN'
positive,'i_PRP ca_MD n\'t_RB wait_VB to_TO here_RB this_DT negros_JJ explanation_NN about_IN monday_JJ night_NN smh_NN un_NN huh_JJ trust_NN issues_NNS'
negative,'you_PRP know_VBP USER_IN it_PRP \'s_VBZ been_VBN almost_RB a_DT week_NN since_IN i_NN paid_VBN for_IN itunes_NNS match_VBP i_PRP would_MD really_RB like_VB to_TO use_VB it_PRP any_DT eta_NN on_IN a_DT fix_NN'
negative,'new_JJ shit_NN 10_CD things_NNS to_TO know_VB for_IN friday_NN the_DT u_NN s_VBZ postal_JJ service_NN on_IN the_DT brink_NN of_IN default_NN on_IN a_DT second_JJ URL_JJ new_JJ swag_NN'
negative,'wish_NN i_VBP was_VBD going_VBG to_TO the_DT rodeo_NN tomorrow_NN night_NN with_IN everyone_NN stupid_JJ surgery_NN'
positive,'hey_UH guys_NNS tomorrow_NN is_VBZ now_RB national_JJ ground_NN hog_NN day_NN i_IN hope_NN to_TO see_VB you_PRP all_DT post_NN about_IN it_PRP hahahaha_.'
positive,'thx_NN USER_NNP thx_IN USER_NNP hypo_NN d_VBD 76_CD tri_NN x_NN URL_.'
positive,'USER_NNP out_IN with_IN the_DT old_JJ in_IN with_IN the_DT new_JJ shown_VBN good_JJ discipline_NN in_IN the_DT 1st_JJ 4_CD rounds_NNS tonight_RB frankie_NN kept_VBD a_DT cool_JJ head_NN andthenew_CC'
positive,'tomorrow_NN is_VBZ halloween_IN trending_VBG thankyou_NNS for_IN the_DT obvious_JJ lmfao_NN'
negative,'shit_NN \'s_VBZ going_VBG down_RP this_DT sat_VBD at_IN neighborhood_NN theatre_NN drop_NN thard_.'
negative,'USER_NNP monaffal_NN lol_NN i_VBZ do_VB both_DT and_CC for_IN sure_JJ microsoft_JJ dotnet_NN is_VBZ perfect_JJ simple_NN o_IN ay_NN 7aja_. but_CC sorry_JJ i_IN hate_NN windows_NNS phones_NNS p_NN'
negative,'i_PRP have_VBP n\'t_RB worn_VBN makeup_NN since_IN ash_NN wed_VBN o_IN 3_CD i_NN do_VBP n\'t_RB like_VB it_PRP anymore_RB'
positive,'congrats_NNS to_TO dj_VB \'s_POS 3rd_JJ grade_NN team_NN going_VBG to_TO the_DT superbowl_NN i_NN \'ll_MD be_VB there_RB cheering_VBG'
positive,'rt_NN USER_NNP love_NN ios5_IN easter_JJ eggs_NNS pull_VB down_RP from_IN middle_JJ top_NN to_TO bottom_NN and_CC see_VB what_WP pulls_VBZ down_RP awesome_JJ little_JJ feature_NN ios5_IN USER_NNP'
positive,'microsoft_JJ stores_NNS offer_VBP up_RP free_JJ windows_NNS phone_VBP 7_CD devices_NNS microsoft_JJ microsoftstores_NNS URL_.'
positive,'siri_NN which_WDT android_DT device_NN should_MD i_FW replace_VB my_PRP$ iphone_NN with_IN apple_NN vs_NN google_NN'
negative,'ugh_RB why_WRB everyone_NN going_VBG to_TO athens_NNS saturday_JJ night_NN go_VBP friday_NN'
positive,'is_VBZ it_PRP just_RB me_PRP or_CC is_VBZ ios5_DT faster_RBR for_IN the_DT ipad_NN USER_NN'
positive,'infinite_JJ spiral_NN bookcase_NN for_IN google_JJ books_NNS looks_VBZ amazing_JJ interested_JJ to_TO see_VB where_WRB it_PRP is_VBZ headed_VBN URL_.'
negative,'“USER_NNP USER_NNP twitty_JJ huh_JJ lmao”_NN lol_NN that_WDT \'s_VBZ your_PRP$ mother_NN correct_JJ'
positive,'big_JJ day_NN tomorrow_NN it_PRP \'s_VBZ donut_NN friday_NN USER_NNP is_VBZ buying_VBG first_JJ day_NN of_IN practice_NN and_CC mitt_NN \'s_POS rally_NN'
negative,'wait_VB if_IN the_DT power_NN is_VBZ out_RP tomorrow_RB then_RB i_PRP \'m_VBP going_VBG to_TO miss_VB a_DT new_JJ how_WRB i_FW met_VBD your_PRP$ mother_NN nooooooooo_RB'
positive,'yay_NN payday_NN today_NN and_CC i_NN \'ll_MD be_VB in_IN austin_NN tomorrow_NN nite_NN to_TO see_VB leonard_JJ cohen_NN i_IN gotsa_DT four_CD day_NN weekend_NN on_IN my_PRP$ hands_NNS happy_JJ fukn_NN halloween_.'
negative,'USER_NNP USER_NNP USER_NNP that_DT \'s_VBZ why_WRB all_DT the_DT ppl_NN who_WP stand_VBP in_IN line_NN for_IN hrs_NNS to_TO get_VB the_DT newest_JJS model_NN are_VBP suckers_NNS'
negative,'ics_NNS android_CC is_VBZ going_VBG to_TO kill_VB both_DT mango_NN wmp_NN microsoft_JJ and_CC rimm_NN it_PRP already_RB killed_VBD webos_NNS and_CC nokia_NN os_NNS'
positive,'USER_NNP hi_PRP babe_VBD me_PRP and_CC my_PRP$ friend_NN were_VBD wondering_VBG how_WRB do_VBP u_PRP say_VB \'hermes_. \'_\'\' lol_VB sorry_JJ for_IN this_DT stupid_JJ qs_NN'
positive,'proper_JJ buzzing_VBG to_TO watch_VB the_DT vow_NN with_IN USER_NNP tomorrow_NN'
positive,'rt_NN USER_NNP USER_NNP got_VBD a_DT new_JJ backside_NN for_IN my_PRP$ eye_NN phone_NN v_NN impressed_VBD with_IN USER_NNP'
positive,'windows_NNS phone_NN 7_CD 5_CD mango_NN update_NN process_NN ahead_RB of_IN schedule_NN URL_IN microsoft_JJ windowsphone_NN mango_NN'
negative,'twitter_NN \'smalfunctioningagain_POS'
negative,'why_WRB dff_NN is_VBZ twitter_RB still_RB laggin_VB on_IN showin_NN who_WP retweets_VBZ ur_NN shitt_NN'
negative,'USER_NNP i_VBZ committed_VBN to_TO your_PRP$ cloud_NN storage_NN idisk_NN and_CC now_RB it_PRP \'s_VBZ raining_VBG so_RB soon_RB no_DT more_JJR idisk_NN any_DT plans_NNS for_IN a_DT new_JJ service_NN for_IN storage_NN'
positive,'using_VBG my_PRP$ awsome_JJ ipad_NN i_IN love_NN it_PRP i_MD love_VB my_PRP$ macbook_NN too_RB and_CC my_PRP$ ipod_NN it_PRP \'s_VBZ all_DT amazing_JJ i_FW love_NN USER_NN'
negative,'oh_UH and_CC rafa_NNP said_VBD before_IN the_DT injury_NN he_PRP was_VBD having_VBG the_DT best_JJS year_NN he_PRP ever_RB had_VBD was_VBD 1st_JJ in_IN the_DT race_NN m6_.'
negative,'hey_UH guys_NNS at_IN USER_NNP wtf_NN is_VBZ happening_VBG to_TO iphone4_VB with_IN ios5_PRP suddenly_RB fade_VBD to_TO black_JJ and_CC begin_VB to_TO vibrate_VB continuously_RB i_RB had_VBD to_TO reboot_VB it_PRP'
positive,'i_PRP \'m_VBP over_IN people_NNS bitching_VBG about_IN the_DT iphone4s_JJ i_NNS think_VBP it_PRP \'s_VBZ the_DT smartest_JJS phone_NN i_PRP \'ve_VBP ever_RB had_VBN and_CC i_PRP \'m_VBP very_RB happy_JJ way_NN to_TO go_VB USER_.'
positive,'laying_VBG down_RP on_IN my_PRP$ bed_NN and_CC i_PRP \'m_VBP on_IN my_PRP$ favorite_JJ app_NN twitternation_NN twitter_NN gt_NN facebook_NN'
positive,'rtUSER_NN twitters_NNS impressive_JJ numbers_NNS URL_JJ twitter_IN smm_JJ socialmedia_NNS'
negative,'twitter_NN is_VBZ sooo_RB trash_NN ritenow_NN with_IN all_DT dezz_NN highscoolmemories_NNS'
positive,'fyi_IN the_DT ridiculously_NN adorable_VBZ ladybug_NN larry_JJ bird_NN gives_VBZ his_PRP$ 1st_JJ piece_NN of_IN candy_NN to_TO is_VBZ our_PRP$ producer_NN director_NN chris_NN koch_NN \'s_POS gorgeous_JJ daughter_NN'
negative,'USER_NNP needs_VBZ to_TO hurry_VB up_RB and_CC release_VB itunesmatch_IN'
positive,'i_IN just_RB add_VB my_PRP$ profile_NN on_IN the_DT google_JJ webgl_NN globe_NN project_NN add_VB yours_PRP URL_IN vía_NN USER_.'
negative,'USER_NNP i_FW take_NN turns_VBZ being_VBG absent_JJ'
negative,'watched_VBD the_DT 1st_JJ season_NN of_IN scandal_NN and_CC all_DT i_FW can_MD say_VB is_VBZ olivia_IN pope_NN is_VBZ a_DT bad_JJ girl_NN got_VBD season_NN 2_CD on_IN dvr_NN'
negative,'USER_NNP your_PRP$ update_NN server_NN has_VBZ been_VBN timing_VBG out_RP for_IN a_DT week_NN i_NN had_VBD to_TO force_VB a_DT restore_VB w_WRB the_DT new_JJ ios5_NN software_NN lost_VBN all_PDT my_PRP$ stuff_NN thanks_NNS'
negative,'i_NN so_RB wish_VB that_IN steveballmer_NN from_IN microsoft_JJ would_MD have_VB to_TO swallow_VB his_PRP$ words_NNS about_IN yahoo_NN URL_.'
positive,'hey_UH parents_NNS did_VBD you_PRP know_VB about_IN the_DT free_JJ tools_NNS from_IN microsoft_JJ that_IN help_NN keep_VB your_PRP$ kids_NNS safe_JJ online_IN live_JJ family_NN safety_NN URL_.'
negative,'i_PRP go_VB on_IN channel_NN 7_CD to_TO see_VB what_WP the_DT weather_NN is_VBZ gonna_VBN be_VB like_IN tomorrow_NN and_CC taylor_NN swift_JJ singing_NN eewww_NN getoffmytv_.'
positive,'hello_UH man_NN in_IN pointy_NN multicoloured_VBD snake_NN skin_NN cowboy_NN boots_NNS a_DT suit_NN and_CC axl_NN rose_VBD \'s_POS hair_NN you_PRP \'ve_VBP made_VBN my_PRP$ friday_NN heart_NN even_RB happier_JJR'
negative,'1_CD rt_NN USER_NNP dear_JJ google_NN samsung_NN learn_VBP some_DT presentation_NN 101_CD first_JJ please_VBP'
negative,'dear_JJ USER_NNP congratulations_NNS i_IN am_VBP suing_VBG my_PRP$ insurance_NN company_NN and_CC you_PRP just_RB managed_VBD to_TO make_VB it_PRP to_TO the_DT top_NN of_IN my_PRP$ shit_NN list_NN ineedthosepictures_NNS'
negative,'USER_NNP do_VBP n\'t_RB question_VB the_DT USER_NN they_PRP will_MD remember_VB your_PRP$ dissent_NN'
negative,'obma_NN fails_VBZ 2unite_JJ us_PRP he_PRP divides_VBZ us_PRP by_IN sex_NN color_NN party_NN age_NN wealth_NN nevada_NN \'s_POS 1st_JJ latino_NN governor_NN votes_NNS early_JJ for_IN romney_NN predicts_VBZ gop_NN win_VBP'
negative,'i_PRP will_MD sleep_VB in_IN zachary_NN \'s_POS truck_NN until_IN wednesday_PRP but_CC i_PRP \'ll_MD be_VB damned_VBN if_IN my_PRP$ cellphone_NN dies_VBZ because_IN the_DT power_NN is_VBZ out_IN'
negative,'USER_NNP a_DT few_JJ people_NNS are_VBP reporting_VBG twitter_NN retweets_NNS not_RB working_VBG probably_RB a_DT technical_JJ problem_NN'
negative,'the_DT google_JJ guys_NNS are_VBP illustrating_VBG the_DT perils_NNS of_IN a_DT live_JJ demonstration_NN admirably_RB galaxynexus_NN ics_NNS android_CC'
negative,'brrrr_NN that_WDT was_VBD a_DT shock_NN this_DT am_VBP 2c_JJ windy_NN so_RB feels_VBZ chilly_JJ but_CC some_DT sun_NN we_PRP are_VBP colder_JJR than_IN siberia_NNS so_IN the_DT tabs_NNS URL_.'
positive,'rt_NN USER_NNP i_IN fu_NN king_NN love_NN you_PRP USER_NNP this_DT phone_NN is_VBZ the_DT best_JJS thing_NN ever_RB siri_RB best_JJS thing_NN ever_RB made_VBN'
positive,'cannot_MD wait_VB to_TO play_VB san_JJ fran_NN on_IN sunday_NN if_IN we_PRP can_MD beat_VB them_PRP at_IN home_NN for_IN the_DT nfc_NN championship_NN we_PRP can_MD beat_VB them_PRP now_RB'
positive,'hey_UH daryl_RB great_JJ connecting_VBG at_IN anti_NNS fracking_VBG colorado_RB excited_VBN to_TO have_VB you_PRP in_IN next_JJ issue_NN deadline_NN is_VBZ nov_RB 15th_JJ USER_NN'
positive,'welcome_JJ skype_NN to_TO the_DT microsoft_JJ family_NN we_PRP can_MD do_VB amazing_JJ things_NNS together_RB URL_NNP welcomeskype_.'
positive,'i_FW need_NN a_DT nice_JJ can_NN because_IN i_PRP want_VBP to_TO play_VB penny_NN can_MD on_IN saturday_NN this_DT is_VBZ a_DT real_JJ problem_NN cougar_NN town_NN just_RB made_VBD me_PRP love_VB this_DT game_NN haha_NN'
positive,'google_JJ great_JJ for_IN small_JJ businesses_NNS i_IN think_VBP so_IN the_DT platform_NN has_VBZ some_DT really_RB beneficial_JJ features_NNS thoughts_NNS URL_.'
negative,'khan_FW says_VBZ chisora_NN wo_MD n\'t_RB be_VB the_DT same_JJ after_IN his_PRP$ ko_NN vs_IN haye_NN is_VBZ he_PRP still_RB dizzy_JJ from_IN getting_VBG put_VBN on_IN his_PRP$ ass_NN on_IN saturday_NN idiot_NN'
negative,'sooo_RB what_WP you_PRP \'re_VBP telling_VBG me_PRP is_VBZ that_IN no_DT one_NN is_VBZ down_RB to_TO get_VB drunk_JJ as_IN shit_NN for_IN the_DT cypress_NN game_NN tomorrow_NN and_CC talk_NN shit_NN to_TO the_DT cypress_NN kids_NNS'
positive,'USER_NNP got_VBD a_DT new_JJ backside_NN for_IN my_PRP$ eye_NN phone_NN v_NN impressed_VBD with_IN USER_NNP'
positive,'i_PRP think_VBP i_PRP may_MD have_VB a_DT heart_NN attack_NN for_IN jason_NN wu_NN \'s_POS new_JJ collection_NN so_IN charlotte_JJ rampling_NN in_IN the_DT night_NN URL_.'
positive,'thanks_NNS to_TO USER_NNP covent_NN garden_NN geniusbar_NN for_IN replacing_VBG my_PRP$ macbook_NN keyboard_NN cracked_VBD wristpad_NN during_IN my_PRP$ lunch_NN break_NN today_NN out_IN of_IN warranty_NN'
positive,'USER_NNP hello_NN eleanor_NN will_MD you_PRP please_VB follow_VB my_PRP$ account_NN USER_NN for_IN my_PRP$ birthday_NN on_IN the_DT 14th_JJ please_VBP you_PRP wo_MD n\'t_RB regret_VB it_PRP'
positive,'excited_VBN to_TO head_VB to_TO florida_DT tomorrow_NN participating_VBG in_IN the_DT tyrf_NN strikeforce_NN to_TO make_VB sure_JJ fl_NN goes_VBZ 4_CD mittromney_NN tcot_NN txcot_NN dallasgop_NN'
positive,'rocking_VBG out_IN to_TO good_JJ girl_NN by_IN USER_NNP at_IN the_DT gym_NN how_WRB exactly_RB does_VBZ one_CD rock_NN out_IN while_NN on_IN a_DT treadmill_NN you_PRP may_MD ask_VB well_RB it_PRP involves_VBZ'
positive,'today_NN is_VBZ national_JJ kissing_VBG day_NN coz_IN it_PRP \'s_VBZ no_DT work_NN day_NN tomorrow_NN'
negative,'rt_NN USER_NNP niggas_NN act_NN like_IN baseball_NN does_VBZ n\'t_RB have_VB the_DT best_JJS all_DT star_NN game_NN'
positive,'this_DT is_VBZ how_WRB charity_NN works_VBZ these_DT days_NNS URL_IN billgates_NNS philanthropy_VBP microsoft_JJ'
negative,'nobel_NN peace_NN laureate_NN jose_NN ramos_NNS horta_VBD warned_VBN monday_NN that_IN syria_NN risked_VBD becoming_VBG a_DT new_JJ somalia_NN as_IN he_PRP voiced_VBD pessim_NN URL_.'
positive,'factsaboutme_NN when_WRB i_PRP was_VBD born_VBN on_IN that_DT day_NN it_PRP was_VBD the_DT 2nd_CD day_NN of_IN chinese_JJ new_JJ year_NN immediately_RB i_IN gotten_VBN lots_NNS of_IN redpacket_NN d_CC'
positive,'i_PRP \'ll_MD stop_VB loving_VBG jennette_NN on_IN the_DT 31st_JJ feb_NN february_NN has_VBZ only_RB 28_CD days_NNS so_IN it_PRP does_VBZ n\'t_RB count_VB 3_CD'
positive,'we_PRP did_VBD an_DT unexpected_JJ workshop_NN for_IN the_DT iphone4s_NN at_IN USER_NNP yesterday_NN and_CC we_PRP got_VBD an_DT awesome_JJ amount_NN of_IN info_NN notjustaboutthephone_NN USER_.'
negative,'i_PRP noticed_VBD all_PDT the_DT huddlestone_NN haters_NNS were_VBD conspicuous_JJ by_IN their_PRP$ absence_NN yesterday_NN particularly_RB when_WRB he_PRP assisted_VBD bale_NN for_IN the_DT 1st_JJ goal_NN thfc_.'
positive,'i_FW ♥_NNP USER_NNP URL_.'
positive,'after_IN watching_VBG the_DT campaign_NN again_RB i_RB have_VBP realized_VBN that_IN step_NN brothers_NNS is_VBZ still_RB the_DT funniest_JJS will_MD ferrell_VB movie_NN but_CC this_DT one_NN is_VBZ in_IN 2nd_CD place_NN'
negative,'bad_JJ times_NNS when_WRB u_PRP missed_VBD waterloo_NN road_NN last_JJ thursday_RB when_WRB in_IN tenerife_NN and_CC dont_NN realise_NN it_PRP was_VBD the_DT last_JJ episode_NN notfair_NN'
positive,'rt_NN USER_NNP telegraph_NN reports_NNS that_IN the_DT biggest_JJS threat_NN to_TO facebook_NN is_VBZ its_PRP$ power_NN users_NNS have_VBP shifted_VBN to_TO twitter_VB or_CC google_VB URL_.'
negative,'wow_JJ lots_NNS of_IN negative_JJ comments_NNS about_IN windows8_CD on_IN the_DT USER_NNP blog_NN i_IN sure_JJ hope_NN microsoft_NN is_VBZ listening_VBG keepthedesktop_FW'
positive,'android_CC ics_NNS is_VBZ looking_VBG pretty_RB good_JJ not_RB quite_RB sure_JJ if_IN its_PRP$ worth_NN the_DT 4_CD 0_CD numbering_NN leap_NN google_NN'
positive,'when_WRB i_PRP \'m_VBP about_IN to_TO tweet_VB something_NN and_CC i_IN cant_NN remember_VBP how_WRB to_TO spell_VB i_PRP go_VB straight_RB to_TO google_VB'
positive,'USER_NNP katie_NN ha_WP tomorrow_NN is_VBZ her_PRP$ last_JJ day_NN'
negative,'USER_NNP as_IN a_DT point_NN flacco_NN had_VBD a_DT 0_CD 3_CD qbr_NN last_JJ sunday_NN even_RB vet_JJ qb_NN had_VBD a_DT bad_JJ day_NN'
positive,'microsoft_JJ powerpivot_NN gives_VBZ users_NNS the_DT power_NN to_TO create_VB compelling_JJ self_NN service_NN bi_NNS solutions_NNS infinitywebinar_NN'
positive,'USER_NNP USER_NNP USER_NNP apple_NN sells_VBZ 4_CD million_CD iphone_NN 4s_JJ units_NNS in_IN first_JJ weekend_NN steve_NN jobs_NNS brilliance_VBP lives_NNS on_IN for_IN ever_RB iphone_NN rva_.'
negative,'thankfully_RB he_PRP \'s_VBZ in_IN germany_NN now_RB and_CC comes_VBZ home_NN in_IN january_NN still_RB dangerous_JJ though_IN'
negative,'why_WRB does_VBZ the_DT knicks_NNS heat_NN game_NN have_VBP to_TO come_VB on_IN tomorrow_NN night_NN during_IN bibleball_NN oh_UH well_UH i_FW \'d_MD rather_RB play_VB than_IN watch_VB any_DT day_NN'
negative,'turns_VBZ out_RP my_PRP$ computer_NN is_VBZ n\'t_RB as_RB fixed_VBN as_IN it_PRP is_VBZ meant_VBN to_TO be_VB fuck_VB you_PRP USER_IN i_PRP \'m_VBP going_VBG back_RB to_TO your_PRP$ genius_NN bar_NN to_TO complain_VB annoyed_VBN'
positive,'10_CD ps4_NN launch_NN games_NNS wed_VBN love_NN to_TO see_VB these_DT are_VBP our_PRP$ hopes_NNS dreams_VBZ sony_NN be_VB gentle_JJ with_IN them_PRP opm_, a_DT new_JJ console_NN URL_.'
positive,'i_NN will_MD be_VB participating_VBG in_IN a_DT google_JJ hangout_NN with_IN USER_NNP tomorrow_NN i_NN \'m_VBP super_JJ excited_JJ check_NN it_PRP out_RB URL_.'
positive,'obama_NN is_VBZ good_JJ for_IN israel_NN tens_NNS of_IN millions_NNS of_IN americans_NNS will_MD go_VB to_TO the_DT polls_NNS on_IN tuesday_JJ to_TO vote_VB for_IN a_DT president_NN URL_.'
positive,'watching_VBG david_JJ letterman_NN with_IN no_DT audience_NN but_CC playing_VBG like_IN they_PRP are_VBP still_RB there_RB is_VBZ the_DT 2nd_CD most_RBS brilliant_JJ thing_NN i_PRP \'ve_VBP seen_VBN tonight_RB'
